YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2021,3,52274,20700,CARGURUS
2017,7,62769,20500,AUTOTRADER
2022,2,16134,76590,AUTOTRADER
2019,5,46897,32500,CARGURUS
2011,13,124980,12995,CARGURUS
2015,9,90268,19999,AUTOTRADER
2020,4,53271,25290,AUTOTRADER
2021,3,51988,23993,CARGURUS
2012,12,126000,13500,AUTOTRADER
2013,11,64676,23999,CARGURUS
2010,14,106464,14495,CARGURUS
2017,7,40550,32588,CARGURUS
2015,9,90268,19999,AUTOTRADER
2023,1,7203,34888,AUTOTRADER
2016,8,9680,36995,AUTOTRADER
2023,1,8600,97998,CRAIGSLIST
2016,8,46938,31995,CRAIGSLIST
2016,8,55500,29990,CRAIGSLIST
2019,5,15756,79995,CRAIGSLIST